cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Ray & Temperature,4,85309439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-035
Tripwire Beast,3,45042329,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN104
One-Eyed Shield Dragon,5,33064647,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-087
Follow Wind,4,98252586,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-098
Sand Stone,4,73051941,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN109
Armored Starfish,6,17535588,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN116
Two-Mouth Darkruler,1,57305373,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-030
Frenzied Panda,3,98818516,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN081
Fissure,3,66788016,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-057
Trial of Nightmare,2,77827521,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN012
Laser Cannon Armor,4,77007920,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN089
Machine Conversion Factory,4,25769732,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN096
Red Medicine,3,38199696,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-054
Meda Bat,2,76211194,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN083
Silver Bow and Arrow,4,1557499,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN091
Electro-Whip,2,37820550,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN093
Flame Ghost,2,58528964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-029
Dragon Treasure,2,1435851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-092
Remove Trap,2,51482758,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN060
Firegrass,4,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-018
Mountain,6,50913601,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-048
Lesser Dragon,1,55444629,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN113
Nemuriko,2,90963488,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-013
Fireyarou,6,71407486,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-085
Uraby,3,1784619,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-069
Dark Gray,1,9159938,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-011
Witty Phantom,2,36304921,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN072
Yami,2,59197169,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-051
Darkfire Dragon,1,17881964,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN019
Petit Dragon,1,75356564,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-024
Man Eater,2,93553943,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN075
Kumootoko,2,56283725,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-082
Monster Egg,2,36121917,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-017
The Furious Sea King,4,18710707,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-033
