cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Sand Stone,4,73051941,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-109
Nemuriko,5,90963488,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-013
Sparks,5,76103675,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN055
Hinotama Soul,3,96851799,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN026
Dark Energy,3,4614116,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN088
Skull Servant,3,32274490,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN004
Petit Dragon,3,75356564,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN024
Enchanting Mermaid,2,75376965,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN084
Hane-Hane,3,7089711,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN110
Hinotama,1,46130346,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN056
Dragon Treasure,2,1435851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-092
M-Warrior #2,5,92731455,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-077
Turtle Tiger,3,37313348,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN023
Green Phantom King,4,22910685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-034
Kurama,3,85705804,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-039
Beaver Warrior,4,32452818,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN064
Dark King of the Abyss,3,53375573,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN020
Karbonala Warrior,1,54541900,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-067
Fiend Reflection #2,1,2863439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-021
Follow Wind,5,98252586,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN098
Red Medicine,4,38199696,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-054
Hitotsu-Me Giant,1,76184692,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN002
Kumootoko,2,56283725,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN082
Dark Gray,2,9159938,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN011
Sogen,3,86318356,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-049
Charubin the Fire Knight,2,37421579,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN015
Power of Kaishin,6,77027445,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-044
Darkworld Thorns,2,43500484,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN114
Trial of Nightmare,3,77827521,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-012
Drooling Lizard,2,16353197,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-115
Root Water,4,39004808,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN032
Yami,2,59197169,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-051
Dragon Capture Jar,2,50045299,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN045
King Fog,3,84686841,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN036
One-Eyed Shield Dragon,2,33064647,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-087
Mountain,4,50913601,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN048
Skull Red Bird,3,10202894,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-105
