cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Silver Bow and Arrow,2,1557499,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN091
Spike Seadra,3,85326399,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-103
Wasteland,4,23424603,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN047
Darkworld Thorns,2,43500484,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN114
Mountain,3,50913601,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN048
Drooling Lizard,3,16353197,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-115
Man Eater,5,93553943,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN075
Fissure,2,66788016,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN057
Swords of Revealing Light,1,72302403,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-101
Vile Germs,4,39774685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-090
Umi,2,22702055,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-050
Mystical Sheep #2,5,83464209,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN037
Nemuriko,4,90963488,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-013
Skull Servant,6,32274490,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN004
Sparks,3,76103675,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN055
Dark Gray,3,9159938,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN011
Sogen,6,86318356,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN049
Metal Dragon,2,9293977,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-102
King Fog,3,84686841,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN036
Hard Armor,5,20060230,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN074
M-Warrior #2,4,92731455,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-077
Enchanting Mermaid,4,75376965,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-084
Tyhone,1,72842870,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-063
Misairuzame,6,33178416,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN111
Armored Starfish,3,17535588,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-116
Final Flame,1,73134081,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-100
Sand Stone,3,73051941,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-109
Petit Angel,3,38142739,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-025
Hinotama,3,46130346,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-056
Ray & Temperature,3,85309439,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-035
Green Phantom King,2,22910685,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN034
Laser Cannon Armor,3,77007920,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN089
Monster Egg,3,36121917,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-017
